rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
209,frame_0094.jpg,37.6,0.42,0.5418,0.3636,0.2,15,4,False,False
210,frame_0175.jpg,70.0,0.4173,0.559,0.2727,0.28,14,3,False,False
211,frame_0120.jpg,48.0,0.4162,0.4608,0.2727,0.52,13,3,False,False
212,frame_0013.jpg,5.2,0.4118,0.3146,0.1818,1.0,9,2,False,False
213,frame_0100.jpg,40.0,0.4108,0.5328,0.4545,0.04,15,5,False,False
214,frame_0279.jpg,111.6,0.4077,0.6168,0.0909,0.36,13,1,False,False
215,frame_0317.jpg,126.8,0.4055,0.622,0.1818,0.2,15,2,False,False
216,frame_0213.jpg,85.2,0.4037,0.4198,0.2727,0.56,12,3,False,False
217,frame_0206.jpg,82.4,0.4023,0.337,0.2727,0.76,9,3,False,False
218,frame_0184.jpg,73.6,0.3972,0.5442,0.3636,0.08,13,4,False,False
219,frame_0321.jpg,128.4,0.3949,0.5461,0.2727,0.2,16,3,False,False
220,frame_0115.jpg,46.0,0.3929,0.4396,0.3636,0.32,15,4,False,False
221,frame_0198.jpg,79.2,0.3893,0.4936,0.1818,0.44,7,2,False,False
222,frame_0177.jpg,70.8,0.3887,0.5883,0.1818,0.2,16,2,False,False
223,frame_0228.jpg,91.2,0.3882,0.6513,0.1818,0.04,14,2,False,False
224,frame_0090.jpg,36.0,0.3866,0.5202,0.1818,0.36,11,2,False,False
225,frame_0185.jpg,74.0,0.3856,0.5755,0.2727,0.08,16,3,False,False
226,frame_0200.jpg,80.0,0.3848,0.5071,0.0909,0.52,8,1,False,False
227,frame_0204.jpg,81.6,0.3828,0.4391,0.0909,0.68,7,1,False,False
228,frame_0222.jpg,88.8,0.3792,0.5148,0.2727,0.2,15,3,False,False
229,frame_0307.jpg,122.8,0.3755,0.5073,0.2727,0.2,15,3,False,False
230,frame_0225.jpg,90.0,0.3751,0.5,0.3636,0.08,16,4,False,False
231,frame_0178.jpg,71.2,0.3678,0.5625,0.1818,0.16,16,2,False,False
232,frame_0393.jpg,157.2,0.3625,0.5454,0.2727,0.04,17,3,False,False
233,frame_0201.jpg,80.4,0.3588,0.4391,0.0909,0.56,8,1,False,False
234,frame_0168.jpg,67.2,0.3583,0.438,0.0909,0.56,12,1,False,False
235,frame_0214.jpg,85.6,0.355,0.4475,0.0909,0.52,10,1,False,False
236,frame_0306.jpg,122.4,0.3519,0.3896,0.3636,0.24,14,4,False,False
237,frame_0190.jpg,76.0,0.3488,0.4859,0.2727,0.12,12,3,False,False
238,frame_0377.jpg,150.8,0.3475,0.5924,0.0909,0.12,12,1,False,False
239,frame_0189.jpg,75.6,0.3411,0.4865,0.2727,0.08,13,3,False,False
240,frame_0394.jpg,157.6,0.3398,0.5386,0.1818,0.08,15,2,False,False
241,frame_0114.jpg,45.6,0.3393,0.403,0.2727,0.28,14,3,False,False
242,frame_0095.jpg,38.0,0.3384,0.3947,0.3636,0.16,14,4,False,False
243,frame_0316.jpg,126.4,0.3303,0.4875,0.1818,0.16,14,2,False,False
